Número de documentos del corpus:3303
Número de palabras del corpus:48151
Palabra:10000%  Frec:2  LogProb:-10.25199422680701
Palabra:10lbs  Frec:2  LogProb:-10.25199422680701
Palabra:11am  Frec:3  LogProb:-9.846529118698847
Palabra:11pm  Frec:2  LogProb:-10.25199422680701
Palabra:13-sided  Frec:2  LogProb:-10.25199422680701
Palabra:14th  Frec:2  LogProb:-10.25199422680701
Palabra:17th  Frec:2  LogProb:-10.25199422680701
Palabra:1800QZAK  Frec:2  LogProb:-10.25199422680701
Palabra:1900S  Frec:2  LogProb:-10.25199422680701
Palabra:1st  Frec:6  LogProb:-9.153381938138901
Palabra:2)  Frec:2  LogProb:-10.25199422680701
Palabra:2-3  Frec:2  LogProb:-10.25199422680701
Palabra:22AM  Frec:3  LogProb:-9.846529118698847
Palabra:25K  Frec:2  LogProb:-10.25199422680701
Palabra:25th  Frec:2  LogProb:-10.25199422680701
Palabra:26th  Frec:2  LogProb:-10.25199422680701
Palabra:29-5-4  Frec:2  LogProb:-10.25199422680701
Palabra:2b  Frec:3  LogProb:-9.846529118698847
Palabra:2bits  Frec:2  LogProb:-10.25199422680701
Palabra:2day  Frec:5  LogProb:-9.335703494932854
Palabra:2do  Frec:3  LogProb:-9.846529118698847
Palabra:2knock  Frec:3  LogProb:-9.846529118698847
Palabra:2morrow  Frec:2  LogProb:-10.25199422680701
Palabra:2mrrw  Frec:3  LogProb:-9.846529118698847
Palabra:2nd  Frec:2  LogProb:-10.25199422680701
Palabra:2night  Frec:4  LogProb:-9.558847046247065
Palabra:2wks  Frec:3  LogProb:-9.846529118698847
Palabra:2x  Frec:2  LogProb:-10.25199422680701
Palabra:2yrs  Frec:2  LogProb:-10.25199422680701
Palabra:3-4  Frec:2  LogProb:-10.25199422680701
Palabra:3-year-old  Frec:2  LogProb:-10.25199422680701
Palabra:30%  Frec:2  LogProb:-10.25199422680701
Palabra:30am  Frec:2  LogProb:-10.25199422680701
Palabra:30mins-and  Frec:2  LogProb:-10.25199422680701
Palabra:3inches  Frec:2  LogProb:-10.25199422680701
Palabra:3rd  Frec:4  LogProb:-9.558847046247065
Palabra:3Y3sz  Frec:2  LogProb:-10.25199422680701
Palabra:4AM  Frec:2  LogProb:-10.25199422680701
Palabra:4chan  Frec:2  LogProb:-10.25199422680701
Palabra:4da  Frec:3  LogProb:-9.846529118698847
Palabra:4gb  Frec:2  LogProb:-10.25199422680701
Palabra:4got  Frec:2  LogProb:-10.25199422680701
Palabra:5/19/10  Frec:2  LogProb:-10.25199422680701
Palabra:50ft  Frec:3  LogProb:-9.846529118698847
Palabra:50K  Frec:2  LogProb:-10.25199422680701
Palabra:5am  Frec:2  LogProb:-10.25199422680701
Palabra:5lbs  Frec:3  LogProb:-9.846529118698847
Palabra:5other  Frec:2  LogProb:-10.25199422680701
Palabra:5th  Frec:2  LogProb:-10.25199422680701
Palabra:69/gal  Frec:3  LogProb:-9.846529118698847
Palabra:7/8ths  Frec:3  LogProb:-9.846529118698847
Palabra:70$  Frec:2  LogProb:-10.25199422680701
Palabra:70s  Frec:2  LogProb:-10.25199422680701
Palabra:8+  Frec:2  LogProb:-10.25199422680701
Palabra:80's  Frec:2  LogProb:-10.25199422680701
Palabra:9ish  Frec:3  LogProb:-9.846529118698847
Palabra::  Frec:368  LogProb:-5.0370584691980245
Palabra:;  Frec:81  LogProb:-6.550692252694517
Palabra:<3  Frec:2  LogProb:-10.25199422680701
Palabra:<UNK>  Frec:1  LogProb:-10.945141407366956
Palabra:='((((  Frec:3  LogProb:-9.846529118698847
Palabra:=(  Frec:6  LogProb:-9.153381938138901
Palabra:=)  Frec:8  LogProb:-8.86569986568712
Palabra:=/  Frec:4  LogProb:-9.558847046247065
Palabra:=]  Frec:4  LogProb:-9.558847046247065
Palabra:=_=  Frec:2  LogProb:-10.25199422680701
Palabra:=D  Frec:2  LogProb:-10.25199422680701
Palabra:=gay  Frec:2  LogProb:-10.25199422680701
Palabra:=P  Frec:5  LogProb:-9.335703494932854
Palabra:>  Frec:9  LogProb:-8.747916830030736
Palabra:>>  Frec:2  LogProb:-10.25199422680701
Palabra:?  Frec:846  LogProb:-4.204622047760732
Palabra:@  Frec:5  LogProb:-9.335703494932854
Palabra:@H  Frec:2  LogProb:-10.25199422680701
Palabra:]  Frec:8  LogProb:-8.86569986568712
Palabra:]=  Frec:2  LogProb:-10.25199422680701
Palabra:^^  Frec:2  LogProb:-10.25199422680701
Palabra:^__^  Frec:3  LogProb:-9.846529118698847
Palabra:_  Frec:3  LogProb:-9.846529118698847
Palabra:__  Frec:2  LogProb:-10.25199422680701
Palabra:``  Frec:3  LogProb:-9.846529118698847
Palabra:A  Frec:937  LogProb:-4.102458125128533
Palabra:A$$  Frec:2  LogProb:-10.25199422680701
Palabra:A+s  Frec:2  LogProb:-10.25199422680701
Palabra:a-hole  Frec:2  LogProb:-10.25199422680701
Palabra:aa  Frec:2  LogProb:-10.25199422680701
Palabra:AAAND  Frec:2  LogProb:-10.25199422680701
Palabra:AAARRRG  Frec:2  LogProb:-10.25199422680701
Palabra:Aah  Frec:2  LogProb:-10.25199422680701
Palabra:aardvark  Frec:2  LogProb:-10.25199422680701
Palabra:AAYE  Frec:2  LogProb:-10.25199422680701
Palabra:Abbey  Frec:2  LogProb:-10.25199422680701
Palabra:abbie  Frec:2  LogProb:-10.25199422680701
Palabra:ability  Frec:3  LogProb:-9.846529118698847
Palabra:able  Frec:4  LogProb:-9.558847046247065
Palabra:about  Frec:2  LogProb:-10.25199422680701
Palabra:above  Frec:4  LogProb:-9.558847046247065
Palabra:above-da-law  Frec:2  LogProb:-10.25199422680701
Palabra:absitence  Frec:2  LogProb:-10.25199422680701
Palabra:absolutely  Frec:3  LogProb:-9.846529118698847
Palabra:absorb  Frec:2  LogProb:-10.25199422680701
Palabra:absurd  Frec:2  LogProb:-10.25199422680701
Palabra:Abundance  Frec:2  LogProb:-10.25199422680701
Palabra:academy  Frec:2  LogProb:-10.25199422680701
Palabra:accent  Frec:2  LogProb:-10.25199422680701
Palabra:acceptable  Frec:2  LogProb:-10.25199422680701
Palabra:accepted  Frec:4  LogProb:-9.558847046247065
Palabra:access  Frec:2  LogProb:-10.25199422680701
Palabra:ACCOUNT  Frec:3  LogProb:-9.846529118698847
Palabra:accountable  Frec:2  LogProb:-10.25199422680701
Palabra:accounts  Frec:3  LogProb:-9.846529118698847
Palabra:accountt  Frec:2  LogProb:-10.25199422680701
Palabra:accurate  Frec:2  LogProb:-10.25199422680701
Palabra:accuse  Frec:2  LogProb:-10.25199422680701
Palabra:ACH  Frec:2  LogProb:-10.25199422680701
Palabra:acne  Frec:2  LogProb:-10.25199422680701
Palabra:acre  Frec:2  LogProb:-10.25199422680701
Palabra:across  Frec:2  LogProb:-10.25199422680701
Palabra:act  Frec:6  LogProb:-9.153381938138901
Palabra:acted  Frec:2  LogProb:-10.25199422680701
Palabra:acting  Frec:5  LogProb:-9.335703494932854
Palabra:action  Frec:3  LogProb:-9.846529118698847
Palabra:actions  Frec:3  LogProb:-9.846529118698847
Palabra:active  Frec:2  LogProb:-10.25199422680701
Palabra:actor  Frec:2  LogProb:-10.25199422680701
Palabra:actual  Frec:5  LogProb:-9.335703494932854
Palabra:actually  Frec:19  LogProb:-8.000702428200515
Palabra:acuzam  Frec:2  LogProb:-10.25199422680701
Palabra:ad  Frec:2  LogProb:-10.25199422680701
Palabra:Adam  Frec:3  LogProb:-9.846529118698847
Palabra:Adamar's  Frec:3  LogProb:-9.846529118698847
Palabra:adchifying  Frec:2  LogProb:-10.25199422680701
Palabra:add  Frec:8  LogProb:-8.86569986568712
Palabra:added  Frec:4  LogProb:-9.558847046247065
Palabra:addict  Frec:3  LogProb:-9.846529118698847
Palabra:addictive  Frec:2  LogProb:-10.25199422680701
Palabra:adding  Frec:2  LogProb:-10.25199422680701
Palabra:addition  Frec:2  LogProb:-10.25199422680701
Palabra:address  Frec:2  LogProb:-10.25199422680701
