Número de documentos del corpus:6052
Número de palabras del corpus:62887
Palabra:[mentally  Frec:2  LogProb:-10.48310202697824
Palabra:[quiet  Frec:2  LogProb:-10.48310202697824
Palabra:[s  Frec:2  LogProb:-10.48310202697824
Palabra:[x  Frec:2  LogProb:-10.48310202697824
Palabra:]  Frec:245  LogProb:-5.674990996993458
Palabra:]<333  Frec:2  LogProb:-10.48310202697824
Palabra:]]  Frec:3  LogProb:-10.077636918870075
Palabra:]]]  Frec:2  LogProb:-10.48310202697824
Palabra:]r  Frec:9  LogProb:-8.979024630201966
Palabra:^^  Frec:3  LogProb:-10.077636918870075
Palabra:^_^  Frec:5  LogProb:-9.566811295104085
Palabra:_  Frec:2  LogProb:-10.48310202697824
Palabra:______  Frec:2  LogProb:-10.48310202697824
Palabra:_______  Frec:2  LogProb:-10.48310202697824
Palabra:________  Frec:3  LogProb:-10.077636918870075
Palabra:_________  Frec:3  LogProb:-10.077636918870075
Palabra:__________  Frec:3  LogProb:-10.077636918870075
Palabra:___________  Frec:3  LogProb:-10.077636918870075
Palabra:____________  Frec:2  LogProb:-10.48310202697824
Palabra:A  Frec:1142  LogProb:-4.13571281732223
Palabra:a$$  Frec:2  LogProb:-10.48310202697824
Palabra:a'capella  Frec:2  LogProb:-10.48310202697824
Palabra:A^A^A^A^A^A^A^A^A^A  Frec:2  LogProb:-10.48310202697824
Palabra:aaaaaanndgummy  Frec:2  LogProb:-10.48310202697824
Palabra:aaanyyywhoooooooo  Frec:2  LogProb:-10.48310202697824
Palabra:Aah  Frec:2  LogProb:-10.48310202697824
Palabra:aaron  Frec:2  LogProb:-10.48310202697824
Palabra:abandoned  Frec:2  LogProb:-10.48310202697824
Palabra:ABCDEFGHIJKLMNOPQRSTUVWXYZ  Frec:2  LogProb:-10.48310202697824
Palabra:abducted  Frec:2  LogProb:-10.48310202697824
Palabra:ability  Frec:2  LogProb:-10.48310202697824
Palabra:able  Frec:15  LogProb:-8.468199006435976
Palabra:abortion  Frec:3  LogProb:-10.077636918870075
Palabra:abou  Frec:2  LogProb:-10.48310202697824
Palabra:abouht  Frec:2  LogProb:-10.48310202697824
Palabra:aboustly  Frec:2  LogProb:-10.48310202697824
Palabra:about  Frec:4  LogProb:-9.789954846418295
Palabra:about[  Frec:2  LogProb:-10.48310202697824
Palabra:aboutt  Frec:2  LogProb:-10.48310202697824
Palabra:above  Frec:4  LogProb:-9.789954846418295
Palabra:Abrilll(  Frec:2  LogProb:-10.48310202697824
Palabra:Absolutely  Frec:2  LogProb:-10.48310202697824
Palabra:abuse  Frec:3  LogProb:-10.077636918870075
Palabra:abused  Frec:3  LogProb:-10.077636918870075
Palabra:access  Frec:3  LogProb:-10.077636918870075
Palabra:accident  Frec:5  LogProb:-9.566811295104085
Palabra:accidentally  Frec:4  LogProb:-9.789954846418295
Palabra:accomplish  Frec:2  LogProb:-10.48310202697824
Palabra:accomplished  Frec:2  LogProb:-10.48310202697824
Palabra:accomplishment  Frec:3  LogProb:-10.077636918870075
Palabra:according  Frec:2  LogProb:-10.48310202697824
Palabra:account  Frec:10  LogProb:-8.87366411454414
Palabra:accutally  Frec:2  LogProb:-10.48310202697824
Palabra:ach  Frec:3  LogProb:-10.077636918870075
Palabra:achieve  Frec:3  LogProb:-10.077636918870075
Palabra:achieved  Frec:4  LogProb:-9.789954846418295
Palabra:achievement  Frec:4  LogProb:-9.789954846418295
Palabra:achingly  Frec:2  LogProb:-10.48310202697824
Palabra:across  Frec:5  LogProb:-9.566811295104085
Palabra:act  Frec:9  LogProb:-8.979024630201966
Palabra:acted  Frec:2  LogProb:-10.48310202697824
Palabra:acting  Frec:5  LogProb:-9.566811295104085
Palabra:actions  Frec:2  LogProb:-10.48310202697824
Palabra:active  Frec:2  LogProb:-10.48310202697824
Palabra:activity  Frec:2  LogProb:-10.48310202697824
Palabra:actor  Frec:7  LogProb:-9.230339058482873
Palabra:Actor(  Frec:2  LogProb:-10.48310202697824
