Número de documentos del corpus:122425
Número de palabras del corpus:18437
Palabra:'Specially  Frec:2  LogProb:-11.162395885255101
Palabra:'spherical  Frec:2  LogProb:-11.162395885255101
Palabra:'sucks'  Frec:2  LogProb:-11.162395885255101
Palabra:'super  Frec:2  LogProb:-11.162395885255101
Palabra:'surprise'  Frec:2  LogProb:-11.162395885255101
Palabra:'sux'  Frec:2  LogProb:-11.162395885255101
Palabra:'talking  Frec:2  LogProb:-11.162395885255101
Palabra:'TARDFULNESS  Frec:1  LogProb:-11.855543065815047
Palabra:'the  Frec:2  LogProb:-11.162395885255101
Palabra:'thunking'  Frec:1  LogProb:-11.855543065815047
Palabra:'til  Frec:2  LogProb:-11.162395885255101
Palabra:'Twas  Frec:3  LogProb:-10.756930777146938
Palabra:'ugh  Frec:2  LogProb:-11.162395885255101
Palabra:'uncles'  Frec:2  LogProb:-11.162395885255101
Palabra:'v4sudh4'  Frec:2  LogProb:-11.162395885255101
Palabra:'Wagon'  Frec:2  LogProb:-11.162395885255101
Palabra:'washcloth'  Frec:1  LogProb:-11.855543065815047
Palabra:'YOU'  Frec:2  LogProb:-11.162395885255101
Palabra:(  Frec:205  LogProb:-6.532533086676639
Palabra:((  Frec:4  LogProb:-10.469248704695156
Palabra:(((((((((HUGS)))))))))  Frec:1  LogProb:-11.855543065815047
Palabra:(*)-)  Frec:2  LogProb:-11.162395885255101
Palabra:(*fvrd  Frec:2  LogProb:-11.162395885255101
Palabra:(+  Frec:2  LogProb:-11.162395885255101
Palabra:(+ur3  Frec:2  LogProb:-11.162395885255101
Palabra:(-_-)  Frec:2  LogProb:-11.162395885255101
Palabra:(=<454333  Frec:2  LogProb:-11.162395885255101
Palabra:(=twitter  Frec:2  LogProb:-11.162395885255101
Palabra:(hugs)  Frec:2  LogProb:-11.162395885255101
Palabra:)  Frec:599  LogProb:-5.460281467699597
Palabra:))  Frec:12  LogProb:-9.370636416027047
Palabra:)))  Frec:10  LogProb:-9.552957972821002
Palabra:)))))))))))))))))))))  Frec:2  LogProb:-11.162395885255101
