Número de documentos del corpus:6741
Número de palabras del corpus:96146
Palabra:(  Frec:116  LogProb:-5.380215116491973
Palabra:((  Frec:4  LogProb:-8.747510946478448
Palabra:(((((((((HUGS)))))))))  Frec:4  LogProb:-8.747510946478448
Palabra:(*)-)  Frec:1  LogProb:-10.133805307598339
Palabra:(*fvrd  Frec:1  LogProb:-10.133805307598339
Palabra:(+  Frec:1  LogProb:-10.133805307598339
Palabra:(+ur3  Frec:1  LogProb:-10.133805307598339
Palabra:(-_-)  Frec:1  LogProb:-10.133805307598339
Palabra:(=<454333  Frec:1  LogProb:-10.133805307598339
Palabra:(=twitter  Frec:1  LogProb:-10.133805307598339
Palabra:(hugs)  Frec:1  LogProb:-10.133805307598339
Palabra:)  Frec:301  LogProb:-4.426695042849462
Palabra:))  Frec:3  LogProb:-9.035193018930228
Palabra:)))  Frec:1  LogProb:-10.133805307598339
Palabra:)))))))))))))))))))))  Frec:1  LogProb:-10.133805307598339
Palabra:)-  Frec:4  LogProb:-8.747510946478448
Palabra:)hahagreat  Frec:1  LogProb:-10.133805307598339
Palabra:)r  Frec:1  LogProb:-10.133805307598339
Palabra:)so  Frec:1  LogProb:-10.133805307598339
Palabra:)~  Frec:1  LogProb:-10.133805307598339
Palabra:*  Frec:3  LogProb:-9.035193018930228
Palabra:*$0  Frec:1  LogProb:-10.133805307598339
Palabra:**  Frec:1  LogProb:-10.133805307598339
Palabra:******************MEOWWW*************************  Frec:1  LogProb:-10.133805307598339
Palabra:**bitch***  Frec:2  LogProb:-9.440658127038393
Palabra:**IN**  Frec:4  LogProb:-8.747510946478448
Palabra:**spontaneously  Frec:1  LogProb:-10.133805307598339
Palabra:*-*  Frec:1  LogProb:-10.133805307598339
Palabra:*again*  Frec:3  LogProb:-9.035193018930228
Palabra:*already*  Frec:1  LogProb:-10.133805307598339
Palabra:*always*  Frec:4  LogProb:-8.747510946478448
Palabra:*are*  Frec:1  LogProb:-10.133805307598339
Palabra:*bitch*  Frec:1  LogProb:-10.133805307598339
Palabra:*blinks*  Frec:5  LogProb:-8.524367395164237
Palabra:*buat  Frec:1  LogProb:-10.133805307598339
Palabra:*can*  Frec:1  LogProb:-10.133805307598339
Palabra:*clings*  Frec:1  LogProb:-10.133805307598339
Palabra:*cough*  Frec:1  LogProb:-10.133805307598339
Palabra:*COUGHCOUGH*  Frec:2  LogProb:-9.440658127038393
Palabra:*cut  Frec:3  LogProb:-9.035193018930228
Palabra:*cuts  Frec:1  LogProb:-10.133805307598339
Palabra:*delicious*  Frec:1  LogProb:-10.133805307598339
Palabra:*didn't*  Frec:1  LogProb:-10.133805307598339
Palabra:*eats  Frec:1  LogProb:-10.133805307598339
Palabra:*ever*  Frec:1  LogProb:-10.133805307598339
Palabra:*evil  Frec:3  LogProb:-9.035193018930228
Palabra:*exists*  Frec:1  LogProb:-10.133805307598339
Palabra:*eye  Frec:4  LogProb:-8.747510946478448
Palabra:*FAINTS*  Frec:1  LogProb:-10.133805307598339
Palabra:*falls  Frec:3  LogProb:-9.035193018930228
Palabra:*Feel*  Frec:1  LogProb:-10.133805307598339
Palabra:*forgets  Frec:3  LogProb:-9.035193018930228
Palabra:*gag*  Frec:3  LogProb:-9.035193018930228
Palabra:*gasps*  Frec:1  LogProb:-10.133805307598339
Palabra:*gay*  Frec:4  LogProb:-8.747510946478448
Palabra:*gesticulates  Frec:1  LogProb:-10.133805307598339
Palabra:*giggles  Frec:4  LogProb:-8.747510946478448
Palabra:*goes  Frec:4  LogProb:-8.747510946478448
Palabra:*grumble*  Frec:4  LogProb:-8.747510946478448
Palabra:*grumbles*  Frec:1  LogProb:-10.133805307598339
Palabra:*hehe*  Frec:1  LogProb:-10.133805307598339
Palabra:*HUGS*  Frec:7  LogProb:-8.187895158543025
Palabra:*if*  Frec:1  LogProb:-10.133805307598339
Palabra:*insert  Frec:4  LogProb:-8.747510946478448
Palabra:*it*  Frec:1  LogProb:-10.133805307598339
Palabra:*jaw  Frec:1  LogProb:-10.133805307598339
Palabra:*jealous*  Frec:1  LogProb:-10.133805307598339
Palabra:*just*  Frec:3  LogProb:-9.035193018930228
Palabra:*Kate  Frec:1  LogProb:-10.133805307598339
Palabra:*kicks  Frec:1  LogProb:-10.133805307598339
Palabra:*know*  Frec:1  LogProb:-10.133805307598339
Palabra:*laugh*  Frec:4  LogProb:-8.747510946478448
Palabra:*laughs*  Frec:1  LogProb:-10.133805307598339
Palabra:*lol*  Frec:1  LogProb:-10.133805307598339
Palabra:*looks  Frec:4  LogProb:-8.747510946478448
Palabra:*lover  Frec:1  LogProb:-10.133805307598339
Palabra:*must  Frec:3  LogProb:-9.035193018930228
Palabra:*MY*  Frec:3  LogProb:-9.035193018930228
Palabra:*Nikki  Frec:1  LogProb:-10.133805307598339
Palabra:*not*  Frec:1  LogProb:-10.133805307598339
Palabra:*pats  Frec:1  LogProb:-10.133805307598339
Palabra:*phoebe  Frec:1  LogProb:-10.133805307598339
Palabra:*POOF*  Frec:1  LogProb:-10.133805307598339
Palabra:*raises  Frec:3  LogProb:-9.035193018930228
Palabra:*RAWR*  Frec:1  LogProb:-10.133805307598339
Palabra:*really*  Frec:3  LogProb:-9.035193018930228
Palabra:*rolls  Frec:1  LogProb:-10.133805307598339
Palabra:*runs  Frec:1  LogProb:-10.133805307598339
Palabra:*sad  Frec:4  LogProb:-8.747510946478448
Palabra:*scrolling*  Frec:1  LogProb:-10.133805307598339
Palabra:*shakes  Frec:3  LogProb:-9.035193018930228
Palabra:*shrug*  Frec:1  LogProb:-10.133805307598339
Palabra:*shuns*  Frec:1  LogProb:-10.133805307598339
Palabra:*sigh*  Frec:7  LogProb:-8.187895158543025
Palabra:*slinks  Frec:1  LogProb:-10.133805307598339
Palabra:*smiling*  Frec:1  LogProb:-10.133805307598339
Palabra:*snicker*  Frec:1  LogProb:-10.133805307598339
Palabra:*snort*  Frec:4  LogProb:-8.747510946478448
Palabra:*sobs*  Frec:4  LogProb:-8.747510946478448
Palabra:*SUCKS*  Frec:1  LogProb:-10.133805307598339
Palabra:*sure*  Frec:1  LogProb:-10.133805307598339
Palabra:*swoon*  Frec:4  LogProb:-8.747510946478448
Palabra:*take  Frec:1  LogProb:-10.133805307598339
Palabra:*tearsz*  Frec:1  LogProb:-10.133805307598339
Palabra:*that  Frec:1  LogProb:-10.133805307598339
Palabra:*thinkin*  Frec:1  LogProb:-10.133805307598339
Palabra:*thought*  Frec:4  LogProb:-8.747510946478448
Palabra:*throws  Frec:3  LogProb:-9.035193018930228
Palabra:*tooos*  Frec:3  LogProb:-9.035193018930228
Palabra:*touches  Frec:1  LogProb:-10.133805307598339
Palabra:*twitch*  Frec:3  LogProb:-9.035193018930228
Palabra:*Wannabe*  Frec:1  LogProb:-10.133805307598339
Palabra:*was*  Frec:1  LogProb:-10.133805307598339
Palabra:*watches  Frec:3  LogProb:-9.035193018930228
Palabra:*wear*  Frec:1  LogProb:-10.133805307598339
Palabra:*wearr  Frec:1  LogProb:-10.133805307598339
Palabra:*whistling  Frec:1  LogProb:-10.133805307598339
Palabra:*wink  Frec:1  LogProb:-10.133805307598339
Palabra:*wink*  Frec:4  LogProb:-8.747510946478448
