Número de documentos del corpus:6741
Número de palabras del corpus:96154
Palabra:agent  Frec:3  LogProb:-10.493955803954316
Palabra:aggress  Frec:2  LogProb:-10.89942091206248
Palabra:aggressive  Frec:4  LogProb:-10.206273731502534
Palabra:aggrivation  Frec:3  LogProb:-10.493955803954316
Palabra:ago  Frec:37  LogProb:-7.9816501799782005
Palabra:agony  Frec:3  LogProb:-10.493955803954316
Palabra:agree  Frec:29  LogProb:-8.22527226263595
Palabra:agreed  Frec:6  LogProb:-9.80080862339437
Palabra:AH  Frec:20  LogProb:-8.596835819068435
Palabra:aha  Frec:2  LogProb:-10.89942091206248
Palabra:ahah  Frec:3  LogProb:-10.493955803954316
Palabra:ahaha  Frec:12  LogProb:-9.107661442834425
Palabra:Ahahaha  Frec:2  LogProb:-10.89942091206248
Palabra:ahahahaha  Frec:4  LogProb:-10.206273731502534
Palabra:ahahahahaha  Frec:3  LogProb:-10.493955803954316
Palabra:ahead  Frec:2  LogProb:-10.89942091206248
Palabra:ahh  Frec:6  LogProb:-9.80080862339437
Palabra:Ahhh  Frec:4  LogProb:-10.206273731502534
Palabra:Aidan's  Frec:3  LogProb:-10.493955803954316
Palabra:aids  Frec:2  LogProb:-10.89942091206248
Palabra:Aiken  Frec:3  LogProb:-10.493955803954316
Palabra:aim  Frec:3  LogProb:-10.493955803954316
Palabra:ain't  Frec:4  LogProb:-10.206273731502534
Palabra:AINT  Frec:14  LogProb:-8.953510763007166
Palabra:aintchur  Frec:2  LogProb:-10.89942091206248
Palabra:air  Frec:4  LogProb:-10.206273731502534
Palabra:AJ's  Frec:4  LogProb:-10.206273731502534
Palabra:aja  Frec:4  LogProb:-10.206273731502534
Palabra:AJULA  Frec:2  LogProb:-10.89942091206248
Palabra:Al  Frec:6  LogProb:-9.80080862339437
Palabra:Ala-God-Damn-Bama  Frec:3  LogProb:-10.493955803954316
Palabra:Alameda  Frec:4  LogProb:-10.206273731502534
Palabra:Alan  Frec:7  LogProb:-9.646657943567112
Palabra:alarms  Frec:4  LogProb:-10.206273731502534
Palabra:alas  Frec:7  LogProb:-9.646657943567112
Palabra:album  Frec:14  LogProb:-8.953510763007166
Palabra:albums  Frec:3  LogProb:-10.493955803954316
Palabra:alchy  Frec:2  LogProb:-10.89942091206248
Palabra:alcohol  Frec:6  LogProb:-9.80080862339437
Palabra:alergic  Frec:4  LogProb:-10.206273731502534
Palabra:alert  Frec:7  LogProb:-9.646657943567112
Palabra:alexis  Frec:3  LogProb:-10.493955803954316
Palabra:Alexx  Frec:4  LogProb:-10.206273731502534
Palabra:aliea  Frec:3  LogProb:-10.493955803954316
Palabra:alive  Frec:8  LogProb:-9.513126550942589
Palabra:alix  Frec:2  LogProb:-10.89942091206248
Palabra:All  Frec:14  LogProb:-8.953510763007166
Palabra:all-powerful  Frec:4  LogProb:-10.206273731502534
